external_gene_name	ensembl_gene_id	Yeast_conservation	dN/dS	Multifunctionality	Disorder	PPI_degree	SM_fitness_defect	Copy_number	CAI	Nc	Co-expression_degree	Protein_length	Expression_level	Expression_variation	Num_of_domains	Num_of_unique_domains	Broad_conservation	Observed_GI_degree	Ortholog_in_other_species_common_name	Ortholog_in_other_species_systematic name
SME1	YOR159C	22	0.0709	13	0.2766	18	NaN	1	0.22	5.12E+01	599	94	1.8	0.4066	1	1	67	NaN	sme1	SPBC11G11.06c
MTR10	YOR160W	23	0.0575	9	0.0556	8	NaN	1	0.254	4.87E+01	271	972	0.9	0.3799	1	1	65	NaN	SPBC11G11.07	SPBC11G11.07
PNS1	YOR161C	20	0.0825	7	0.1466	1	-0.007	1	0.228	5.34E+01	637	539	1.1	0.7999	1	1	63	7		
YRR1	YOR162C	10	0.1459	11	0.363	5	-0.006	2	0.218	5.10E+01	712	810	0.3	0.5264	1	1	0	NaN		
DDP1	YOR163W	23	0.0514	10	0.1915	0	-0.021	1	0.291	4.93E+01	188	188	0.8	0.2918	1	1	29	4	aps1	SPAC13G6.14
YOR164C	YOR164C	23	0.055	3	0.0705	6	-0.01	1	0.261	4.09E+01	337	312	1.8	0.3328	1	1	52	29	SPCC1672.12c	SPCC1672.12c
SEY1	YOR165W	23	0.0725	12	0.076	22	0.008	1	0.266	4.77E+01	496	776	1.3	0.2919	1	1	28	18	SPAC222.14c	SPAC222.14c
YOR166C	YOR166C	21	0.2328	7	0.2052	0	-0.04	1	0.249	4.80E+01	420	458	0.6	0.2778	1	1	10	17	SPCC24B10.15	SPCC24B10.15
RPS28A	YOR167C	20	0.0281	8	0.1642	2	-0.012	2	0.518	3.65E+01	726	67	32.8	0.6329	1	1	70	39		
GLN4	YOR168W	23	0.0304	8	0.1904	4	NaN	1	0.335	4.10E+01	980	809	3.9	0.5724	4	4	82	NaN	qrs1	SPBC342.02
LCB4	YOR171C	23	0.0832	18	0.258	2	0.016	2	0.226	4.88E+01	95	624	0.7	0.3462	1	1	27	9		
YRM1	YOR172W	11	0.1678	11	0.2697	1	-0.018	2	0.221	5.36E+01	63	786	0.3	0.4058	1	1	1	5		
DCS2	YOR173W	23	0.0409	9	0.1008	5	-0.022	2	0.262	5.55E+01	973	353	0.1	0.788	2	2	39	8		
MED4	YOR174W	21	0.11	7	0.4577	32	NaN	1	0.268	5.63E+01	101	284	0.9	0.3135	1	1	1	NaN	pmc4	SPBC1105.06
YOR175C	YOR175C	23	0.0614	10	0.1729	0	0.005	1	0.285	4.63E+01	166	619	2.5	0.4989	1	1	76	18	SPBC16A3.10	SPBC16A3.10
HEM15	YOR176W	23	0.0267	7	0.1476	1	NaN	1	0.248	5.02E+01	434	393	2	0.5706	1	1	68	NaN	hem15	SPCC320.09
MPC54	YOR177C	6	0.1414	14	0.222	1	-0.016	1	0.233	5.60E+01	73	464	NaN	0.6321	NaN	NaN	1	4		
GAC1	YOR178C	20	0.1722	12	0.5095	2	0.022	4	0.211	5.23E+01	279	793	0.1	0.7343	1	1	5	9		
SYC1	YOR179C	23	0.2141	6	0.25	7	0.035	2	0.215	5.24E+01	160	188	0.7	0.3989	1	1	0	34		
DCI1	YOR180C	20	0.0882	9	0.0517	2	-0.019	2	0.179	5.62E+01	34	271	0.2	0.4389	1	1	22	13		
LAS17	YOR181W	23	0.13	15	0.8246	22	NaN	1	0.175	4.91E+01	144	633	0.4	0.5162	2	2	50	NaN	wsp1	SPAC4F10.15c
RPS30B	YOR182C	18	NaN	6	0.7778	0	0.307	2	0.721	2.47E+01	618	63	51.2	0.5773	NaN	NaN	27	59		
FYV12	YOR183W	1	NaN	5	0.1938	0	0.268	1	0.208	5.53E+01	19	129	NaN	0.5905	NaN	NaN	NaN	69		
SER1	YOR184W	23	0.0483	13	0.0228	1	0.087	1	0.323	4.42E+01	249	395	4.2	0.478	1	1	70	40	SPAC1F12.07	SPAC1F12.07
GSP2	YOR185C	23	0.0038	10	0.2909	9	-0.038	2	0.302	4.30E+01	777	220	1.2	0.5817	1	1	33	12		
YOR186W	YOR186W	3	0.3258	5	0.2778	0	-0.026	1	0.223	5.18E+01	376	144	NaN	0.5746	NaN	NaN	NaN	7		
TUF1	YOR187W	23	0.0235	10	0.087	3	NaN	1	0.355	4.15E+01	437	437	7.2	0.5526	3	3	80	NaN	tuf1	SPBC9B6.04c
MSB1	YOR188W	21	0.1284	9	0.4952	1	0.012	1	0.229	5.27E+01	713	1137	0.6	0.5592	1	1	2	13		
IES4	YOR189W	8	0.1968	4	0.7586	10	0.031	1	0.168	5.07E+01	370	116	0.9	0.3754	NaN	NaN	NaN	51		
SPR1	YOR190W	23	0.0881	12	0.0135	0	-0.041	3	0.238	5.08E+01	84	445	NaN	0.5252	1	1	6	4		
RIS1	YOR191W	23	0.1191	17	0.2866	3	0.011	1	0.224	5.29E+01	147	1619	0.4	0.4955	2	2	9	40	SPBC23E6.02	SPBC23E6.02
THI72	YOR192C	22	NaN	8	0.1285	2	-0.034	6	0.357	4.53E+01	21	599	NaN	0.4531	1	1	0	11		
PEX27	YOR193W	17	0.5011	6	0.1596	1	-0.025	2	0.213	5.07E+01	87	376	0.2	0.4229	NaN	NaN	NaN	12		
TOA1	YOR194C	22	0.1361	6	0.4126	1	NaN	1	0.234	4.97E+01	344	286	2.8	0.3158	2	1	53	NaN	SPBC28F2.09	SPBC28F2.09
SLK19	YOR195W	19	0.1548	25	0.486	3	-0.012	1	0.246	5.19E+01	343	821	0.2	0.575	1	1	1	37		
LIP5	YOR196C	23	0.0583	11	0.2488	5	0.249	1	0.2	4.67E+01	192	414	1.5	0.3063	1	1	73	170	SPBC8D2.15	SPBC8D2.15
MCA1	YOR197W	23	0.0305	8	0.426	4	-0.02	1	0.268	4.70E+01	99	432	1.1	0.3888	1	1	18	18	pca1	SPCC1840.04
BFR1	YOR198C	22	0.059	6	0.5255	3	NaN	1	0.463	3.97E+01	268	470	3.3	0.4481	NaN	NaN	12	NaN	SPAC458.02c	SPAC458.02c
MRM1	YOR201C	22	0.1081	7	0.2646	3	NaN	1	0.184	5.34E+01	192	412	0.6	0.4253	2	2	37	NaN	SPBC1347.13c	SPBC1347.13c
HIS3	YOR202W	21	0.0314	11	0.0273	1	NaN	1	0.196	61	137	220	1.1	0.5092	1	1	18	NaN	his5	SPBC21H7.07c
DED1	YOR204W	23	0.039	14	0.3957	25	NaN	2	0.402	3.82E+01	386	604	2.6	0.5241	2	2	67	NaN		
YOR205C	YOR205C	20	0.1358	3	0.1601	0	NaN	1	0.199	5.58E+01	426	556	0.6	0.3992	1	1	9	NaN		
NOC2	YOR206W	23	0.0619	11	0.3915	56	NaN	1	0.29	4.55E+01	1130	710	2.7	0.8076	1	1	75	NaN	SPAC1142.04	SPAC1142.04
RET1	YOR207C	23	NaN	11	0.0896	20	NaN	1	0.317	4.13E+01	983	1149	2.4	0.6526	7	7	84	NaN	rpc2	SPAC4G9.08c
PTP2	YOR208W	23	0.1159	12	0.2147	0	-0.015	2	0.239	5.08E+01	646	750	0.8	0.5279	1	1	21	17		
NPT1	YOR209C	23	0.0672	10	0.0256	8	-0.016	1	0.261	4.82E+01	335	429	2.5	0.4333	1	1	54	21	SPAC1486.06	SPAC1486.06
RPB10	YOR210W	21	0	14	0.0714	33	NaN	1	0.46	2.85E+01	933	70	9.8	0.5917	1	1	70	NaN	rpb10	SPAC1B3.12c
MGM1	YOR211C	23	0.0532	12	0.2206	30	NaN	1	0.224	5.08E+01	15	881	0.4	0.3966	1	1	12	NaN	msp1	SPBC1718.06
STE4	YOR212W	20	0.0402	18	0.0047	4	NaN	1	0.219	4.93E+01	562	423	4	0.4177	5	1	74	NaN	git5	SPBC32H8.07
SAS5	YOR213C	23	0.1598	12	0.246	3	-0.056	2	0.229	5.59E+01	348	248	0.8	0.4019	1	1	0	8		
YOR214C	YOR214C	4	0.1934	6	0.1186	0	-0.032	1	0.195	5.09E+01	49	236	NaN	0.7144	NaN	NaN	NaN	7		
YOR215C	YOR215C	14	0.0493	5	0.2	1	-0.076	1	0.272	4.54E+01	1170	185	1.8	0.7373	1	1	3	2		
RUD3	YOR216C	21	0.1642	6	0.5475	1	-0.012	1	0.265	5.46E+01	611	484	0.4	0.4539	1	1	9	90	SPBC119.12	SPBC119.12
RFC1	YOR217W	23	0.0911	15	0.3415	11	NaN	1	0.224	4.68E+01	858	861	1.1	0.3816	3	3	81	NaN	rfc1	SPBC23E6.07c
STE13	YOR219C	23	0.0363	10	0.0924	1	-0.023	2	0.232	5.37E+01	313	931	0.4	0.3976	2	2	5	8		
YOR220W	YOR220W	17	0.1439	3	0.4604	3	0.064	1	0.205	5.76E+01	938	265	1	0.7601	NaN	NaN	0	19		
MCT1	YOR221C	23	0.0583	8	0.0495	0	0.267	1	0.249	5.46E+01	183	360	0.7	0.3924	NaN	NaN	2	70		
ODC2	YOR222W	23	0.0577	10	0.2248	0	-0.032	2	0.26	4.86E+01	96	307	2	0.5368	3	1	51	27		
YOR223W	YOR223W	23	0.0455	5	0.3253	1	-0.005	1	0.179	5.61E+01	333	292	0.6	0.5406	2	2	5	19	dsc3	SPAC20H4.02
RPB8	YOR224C	22	0.022	9	0.1712	23	NaN	1	0.346	4.78E+01	944	146	8	0.6142	1	1	85	NaN	rpb8	SPBC14C8.12
ISU2	YOR226C	23	0.0187	10	0.2051	2	-0.039	2	0.245	4.69E+01	54	156	1.3	0.5745	1	1	40	6		
YOR227W	YOR227W	20	0.0841	5	0.443	1	-0.018	3	0.229	5.09E+01	838	1246	0.4	0.7168	NaN	NaN	1	4		
YOR228C	YOR228C	20	0.1847	6	0.2053	0	-0.008	1	0.216	5.67E+01	827	302	0.7	0.637	2	1	1	17		
WTM2	YOR229W	10	0.0216	11	0.1478	8	-0.031	2	0.257	5.08E+01	41	467	1	0.4835	1	1	0	5		
WTM1	YOR230W	6	0.055	10	0.032	6	-0.027	1	0.344	4.41E+01	635	437	7	0.6356	1	1	0	7		
MKK1	YOR231W	23	0.0965	14	0.4606	0	0.001	2	0.18	5.49E+01	61	508	0.8	0.2758	1	1	43	33		
MGE1	YOR232W	23	0.089	9	0.3684	2	NaN	1	0.323	4.34E+01	628	228	3.6	0.4279	1	1	83	NaN	mge1	SPBC3B9.19
KIN4	YOR233W	23	0.151	10	0.6038	3	0.073	2	0.211	5.37E+01	753	800	0.7	0.4915	1	1	12	29		
RPL33B	YOR234C	19	NaN	7	0.0467	2	NaN	4	0.737	3.02E+01	859	107	36.5	0.596	1	1	52	NaN		
DFR1	YOR236W	23	0.1268	9	0.0474	1	NaN	1	0.198	6.07E+01	578	211	0.7	0.5404	1	1	58	NaN		
HES1	YOR237W	23	0.064	10	0.053	0	-0.034	4	0.219	4.68E+01	3	434	0.1	0.6076	1	1	4	10		
YOR238W	YOR238W	22	0.1611	3	0.0792	1	-0.001	1	0.246	5.07E+01	164	303	0.7	0.3939	NaN	NaN	16	6	SPAC57A10.07	SPAC57A10.07
ABP140	YOR239W	22	0.6192	11	0.5971	0	-0.033	1	0.301	4.82E+01	232	628	0.8	0.38	NaN	NaN	16	2	SPBC21C3.07c	SPBC21C3.07c
MET7	YOR241W	23	0.1004	9	0.0255	0	NaN	1	0.254	5.23E+01	976	548	1.6	0.3033	NaN	NaN	69	NaN	SPBC1709.17	SPBC1709.17
SSP2	YOR242C	20	0.0987	6	0.1968	1	-0.007	1	0.206	4.74E+01	104	371	0.2	0.4347	NaN	NaN	0	51		
PUS7	YOR243C	23	0.0429	9	0.2411	8	0.028	1	0.281	4.51E+01	1111	676	1.9	0.7185	1	1	82	28	SPBC1A4.09	SPBC1A4.09
ESA1	YOR244W	22	0.0286	22	0.3393	13	NaN	1	0.279	5.16E+01	426	445	1.2	0.2943	2	2	84	NaN	mst1	SPAC637.12c
DGA1	YOR245C	23	0.0789	13	0.1388	0	-0.007	1	0.213	5.02E+01	904	418	0.9	0.3337	2	1	77	10	dga1	SPCC1235.15
YOR246C	YOR246C	21	0.0473	8	0.0394	0	0.016	1	0.217	5.97E+01	652	330	3.3	0.4376	1	1	81	42	SPCC736.13	SPCC736.13
SRL1	YOR247W	9	0.283	10	0.2952	1	-0.073	2	0.292	5.10E+01	388	210	8.9	0.6646	NaN	NaN	NaN	8		
APC5	YOR249C	23	0.1101	16	0.0584	12	NaN	1	0.23	5.13E+01	310	685	0.3	0.3361	1	1	0	NaN	apc5	SPAC959.09c
CLP1	YOR250C	23	0.0912	10	0.1169	7	NaN	1	0.21	5.18E+01	138	445	0.4	0.3644	2	2	74	NaN	SPAC22H10.05c	SPAC22H10.05c
YOR251C	YOR251C	23	0.0847	7	0.0428	0	-0.009	1	0.216	4.94E+01	85	304	1.3	0.3308	2	1	54	30	SPCC4B3.01	SPCC4B3.01
TMA16	YOR252W	19	0.0789	4	0.4681	1	-0.035	1	0.262	5.39E+01	853	178	0.4	0.6534	1	1	24	14		
NAT5	YOR253W	22	0.1062	10	0.0227	4	0.026	1	0.249	5.19E+01	894	176	4	0.3947	1	1	38	16	SPCC663.13c	SPCC663.13c
SEC63	YOR254C	23	0.0604	16	0.2398	29	NaN	1	0.268	4.54E+01	861	663	4.6	0.4328	2	2	75	NaN	sec63	SPBC36B7.03
OSW1	YOR255W	10	0.2154	6	0.3058	0	-0.004	1	0.207	5.64E+01	31	278	NaN	0.4894	NaN	NaN	0	7		
TRE2	YOR256C	23	0.101	10	0.0717	0	NaN	3	0.211	4.95E+01	327	809	0.7	0.386	1	1	0	NaN		
CDC31	YOR257W	21	0.0044	20	0.1304	11	NaN	1	0.221	4.96E+01	176	161	1.8	0.3881	2	1	75	NaN	cdc31	SPCC1682.04
HNT3	YOR258W	22	0.1742	8	0.1152	2	NaN	1	0.228	5.97E+01	88	217	0.3	0.4006	1	1	28	NaN	SPCC18.09c	SPCC18.09c
RPT4	YOR259C	23	0.0217	13	0.3341	23	NaN	1	0.297	4.81E+01	495	437	5.5	0.405	1	1	84	NaN	rpt4	SPCC1682.16
GCD1	YOR260W	23	0.0673	8	0.1073	10	NaN	1	0.264	5.02E+01	1129	578	4.7	0.4117	NaN	NaN	36	NaN	tif223	SPAC4D7.09
RPN8	YOR261C	23	0.0527	9	0.1775	33	NaN	1	0.289	4.97E+01	491	338	2.9	0.4335	2	2	86	NaN	rpn8	SPCC1682.10
YOR262W	YOR262W	23	0.0316	5	0.1037	2	NaN	1	0.233	5.61E+01	445	347	1.2	0.4092	1	1	77	NaN	SPAC144.07c	SPAC144.07c
DSE3	YOR264W	9	0.2452	4	0.2256	3	-0.053	1	0.22	5.13E+01	105	430	0.8	0.5391	NaN	NaN	0	29		
RBL2	YOR265W	23	0.0704	10	0.1415	3	0.016	1	0.231	4.87E+01	260	106	2.7	0.408	1	1	48	31		
PNT1	YOR266W	16	0.1696	8	0.1418	1	0.016	1	0.205	5.37E+01	273	423	0.7	0.3749	NaN	NaN	0	49		
HRK1	YOR267C	23	0.0575	8	0.5744	4	-0.016	4	0.29	4.70E+01	360	759	1.1	0.5352	1	1	9	14		
YOR268C	YOR268C	1	NaN	5	0.0682	0	0.026	1	0.231	5.27E+01	5	132	NaN	0.5658	NaN	NaN	NaN	13		
PAC1	YOR269W	20	0.0954	9	0.0789	4	0.063	1	0.261	5.33E+01	295	494	0.6	0.3419	6	1	38	65		
VPH1	YOR270C	23	0.0386	20	0.1488	26	0.408	2	0.377	4.03E+01	323	840	10.3	0.3223	1	1	83	81		
YOR271C	YOR271C	23	0.0165	11	0.1407	0	-0.024	1	0.289	4.68E+01	872	327	4	0.5629	1	1	68	22	SPAC17G6.15c	SPAC17G6.15c
YTM1	YOR272W	23	0.0396	10	0.0152	36	NaN	1	0.288	4.87E+01	993	460	1.6	0.7867	6	2	78	NaN	SPAC890.04c	SPAC890.04c
TPO4	YOR273C	16	0.0629	10	0.2792	22	0.01	1	0.266	5.06E+01	462	659	0.8	0.7347	1	1	6	12		
MOD5	YOR274W	19	0.0805	12	0.1565	0	-0.025	1	0.254	5.62E+01	242	428	0.6	0.3491	1	1	71	6	tit1	SPAC343.15
RIM20	YOR275C	23	0.1306	8	0.2874	2	0.173	1	0.198	5.18E+01	717	661	0.2	0.5042	2	2	71	150	SPAC2G11.05c	SPAC2G11.05c
CAF20	YOR276W	17	0.1295	7	0.5714	18	0.022	1	0.396	3.80E+01	924	161	7.3	0.513	NaN	NaN	0	17		
HEM4	YOR278W	23	0.1369	5	0.0327	0	NaN	1	0.274	5.01E+01	67	275	0.6	0.2517	1	1	46	NaN	ups1	SPAC31G5.08
RFM1	YOR279C	10	0.0794	4	0.4774	2	0.01	1	0.219	5.48E+01	221	310	0.6	0.3694	NaN	NaN	0	33		
FSH3	YOR280C	21	0.0981	5	0.0902	0	-0.026	2	0.256	4.96E+01	132	266	0.8	0.318	1	1	49	9		
PLP2	YOR281C	22	0.0335	7	0.3217	7	NaN	1	0.283	5.42E+01	506	286	1.5	0.3636	NaN	NaN	69	NaN	SPBC2A9.09	SPBC2A9.09
YOR283W	YOR283W	20	0.0534	9	0.0087	1	0.015	1	0.27	4.52E+01	712	230	2.9	0.3869	1	1	20	9	SPAC1687.21	SPAC1687.21
HUA2	YOR284W	3	0.294	3	0.1728	16	0.012	1	0.232	5.56E+01	122	243	0.3	0.4298	NaN	NaN	NaN	12		
YOR285W	YOR285W	22	0.1205	7	0.1583	2	-0.015	2	0.2	4.14E+01	799	139	10.2	0.6988	1	1	31	13		
YOR286W	YOR286W	22	0.0636	4	0.0872	0	-0.057	2	0.228	5.40E+01	324	149	3.5	0.3337	1	1	38	32		
YOR287C	YOR287C	23	0.1714	7	0.66	3	NaN	1	0.28	5.62E+01	850	300	0.6	0.7679	1	1	30	NaN	SPAC823.04	SPAC823.04
MPD1	YOR288C	23	0.1409	8	0.2296	2	-0.028	1	0.227	5.91E+01	365	318	0.8	0.6271	1	1	11	9	SPAC13F5.05	SPAC13F5.05
YOR289W	YOR289W	23	0.1185	4	0.0996	2	-0.016	1	0.201	5.87E+01	1070	251	0.3	0.8541	1	1	72	8	SPAC688.03c	SPAC688.03c
SNF2	YOR290C	23	0.068	27	0.4809	16	NaN	2	0.25	4.99E+01	171	1703	0.6	0.4742	4	4	53	NaN		
YOR291W	YOR291W	23	0.0355	21	0.1943	0	-0.029	1	0.235	5.14E+01	156	1472	1.1	0.4757	3	3	70	17	SPCC1672.11c	SPCC1672.11c
YOR292C	YOR292C	18	0.102	6	0.1068	0	-0.003	1	0.189	5.24E+01	741	309	0.4	0.54	1	1	9	9		
RPS10A	YOR293W	18	0.0648	7	0.219	6	0.522	2	0.843	2.55E+01	843	105	40.2	0.719	1	1	72	90		
RRS1	YOR294W	23	0.0686	10	0.3498	45	NaN	1	0.263	4.97E+01	924	203	1.8	0.7465	1	1	52	NaN	rrs1	SPBC29A3.16
UAF30	YOR295W	23	0.2677	9	0.3991	1	NaN	4	0.209	5.31E+01	523	228	0.2	0.4798	2	2	17	NaN		
YOR296W	YOR296W	23	0.0697	3	0.2102	2	0.018	1	0.224	5.24E+01	144	1289	0.3	0.3671	2	2	9	8	SPAC11E3.02c	SPAC11E3.02c
TIM18	YOR297C	23	0.1424	19	0.1354	0	NaN	3	0.204	5.19E+01	175	192	0.8	0.2332	1	1	0	NaN		
MUM3	YOR298W	20	0.0861	8	0.1315	1	0.011	1	0.235	5.50E+01	10	479	NaN	0.5213	NaN	NaN	0	4		
BUD7	YOR299W	23	0.1259	12	0.1528	5	0.034	4	0.236	5.84E+01	169	746	0.7	0.3528	1	1	6	14		
RAX1	YOR301W	23	0.1641	9	0.2828	1	-0.043	1	0.207	5.64E+01	61	435	0.6	0.405	NaN	NaN	6	9	SPAC23G3.05c	SPAC23G3.05c
YOR302W	YOR302W	3	NaN	3	0.44	1	NaN	1	0.436	3.55E+01	19	25	2.7	0.6732	1	1	NaN	NaN		
CPA1	YOR303W	22	0.0365	14	0.1168	3	NaN	1	0.3	4.86E+01	121	411	4.5	0.7689	2	2	20	NaN	arg5	SPBC56F2.09c
YOR304C-A	YOR304C-A	11	0.1004	7	NaN	2	0.012	1	0.195	61	117	76	NaN	0.812	NaN	NaN	0	8		
ISW2	YOR304W	16	0.0497	22	0.358	9	0.031	1	0.253	4.90E+01	476	1120	0.8	0.3178	4	4	71	46		
YOR305W	YOR305W	21	0.1266	3	0.124	3	NaN	1	0.184	5.51E+01	505	242	2.9	0.3542	1	1	2	NaN		
MCH5	YOR306C	20	0.0473	8	0.2322	0	-0.003	1	0.228	5.21E+01	127	521	1.9	0.5525	2	1	46	3		
SLY41	YOR307C	23	0.1447	7	0.1347	0	-0.036	2	0.209	5.61E+01	194	453	0.7	0.2881	1	1	47	6	SPBC83.11	SPBC83.11
SNU66	YOR308C	23	0.3181	9	0.6014	14	0.029	1	0.201	5.18E+01	400	587	0.2	0.4117	2	1	57	32	snu66	SPAC167.03c
NOP58	YOR310C	23	0.0172	12	0.2368	50	NaN	1	0.432	3.74E+01	994	511	12.2	0.7786	3	3	80	NaN	SPAC23G3.06	SPAC23G3.06
HSD1	YOR311C	23	0.0779	13	0.1621	0	0.053	1	0.225	5.02E+01	203	290	1.6	0.2945	1	1	13	99	ptp4	SPBC3D6.05
RPL20B	YOR312C	22	0.077	8	0.0402	0	NaN	2	0.741	3.06E+01	919	172	25.8	0.6706	NaN	NaN	84	NaN		
SPS4	YOR313C	18	0.1547	5	0.1686	1	0.007	1	0.194	4.71E+01	10	338	0.2	0.7801	NaN	NaN	0	20		
SFG1	YOR315W	17	0.1153	7	0.2803	2	0.041	1	0.202	5.96E+01	702	346	1.2	0.7448	NaN	NaN	0	31		
COT1	YOR316C	23	0.1195	16	0.2961	15	-0.026	2	0.231	5.28E+01	85	439	0.7	0.5119	1	1	10	16		
FAA1	YOR317W	23	0.0447	1	0.0214	1	-0.044	3	0.307	4.53E+01	532	700	1.9	0.7195	1	1	43	16		
HSH49	YOR319W	23	0.1117	7	0.1878	4	NaN	1	0.237	5.20E+01	220	213	0.8	0.3928	2	1	48	NaN	sap49	SPAC31G5.01
GNT1	YOR320C	22	0.1197	8	0.0305	0	-0.044	2	0.255	5.52E+01	326	491	1.7	0.3295	NaN	NaN	2	4		
PMT3	YOR321W	23	0.081	10	0.1288	3	-0.061	3	0.248	5.12E+01	127	753	0.7	0.5434	2	2	9	7		
LDB19	YOR322C	22	0.0653	6	0.3606	1	0.068	1	0.199	5.11E+01	184	818	0.7	0.2968	1	1	2	35		
PRO2	YOR323C	23	0.0509	10	0.0066	15	NaN	1	0.314	4.35E+01	354	456	1.8	0.4114	1	1	73	NaN	pro1	SPAC821.11
FRT1	YOR324C	10	0.13	5	0.3754	3	-0.035	2	0.181	5.39E+01	44	602	0.2	0.3817	1	1	NaN	11		
MYO2	YOR326W	23	0.019	32	0.1804	20	NaN	2	0.279	4.92E+01	598	1574	2.4	0.5311	2	2	68	NaN		
SNC2	YOR327C	23	0.0155	10	0.4087	24	0.007	2	0.271	4.50E+01	136	115	4.4	0.4695	1	1	49	49		
PDR10	YOR328W	13	NaN	9	0.2231	1	-0.022	8	0.219	5.38E+01	62	1564	0.4	0.584	5	3	13	8		
SCD5	YOR329C	17	NaN	13	0.6674	1	NaN	1	0.227	5.04E+01	644	872	0.9	0.5252	NaN	NaN	0	NaN		
MIP1	YOR330C	23	0.0807	10	0.1977	0	NaN	1	0.214	5.44E+01	249	1254	0.4	0.3689	1	1	50	NaN	pog1	SPCC24B10.22
VMA4	YOR332W	23	0.0604	14	0.206	52	NaN	1	0.351	5.43E+01	207	233	6.4	0.3879	1	1	82	NaN	vma4	SPAC11E3.07
MRS2	YOR334W	23	0.1031	10	0.1681	2	0.008	2	0.248	5.51E+01	92	470	0.2	0.4142	NaN	NaN	13	30		
ALA1	YOR335C	22	0.0281	13	0.0877	3	NaN	1	0.421	3.90E+01	931	958	5.2	0.5703	3	3	84	NaN	ala1	SPAC23C11.09
KRE5	YOR336W	23	0.1469	6	0.0894	1	NaN	1	0.236	5.03E+01	112	1365	0.7	0.465	1	1	61	NaN	gpt1	SPBPJ4664.06
TEA1	YOR337W	19	0.0734	9	0.2042	0	0.028	2	0.226	5.68E+01	179	759	0.3	0.6154	2	2	5	12		
YOR338W	YOR338W	23	0.2225	5	0.3939	0	-0.006	2	0.216	5.43E+01	53	363	0.8	0.6384	1	1	1	1		
UBC11	YOR339C	10	0.0841	10	0.1218	0	-0.015	1	0.17	4.70E+01	31	156	NaN	0.6675	1	1	58	6	ubc11	SPCC1259.15c
RPA43	YOR340C	23	0.0849	10	0.3436	15	NaN	1	0.244	5.29E+01	1086	326	2.4	0.6823	1	1	20	NaN	rpa43	SPBC3B9.07c
RPA190	YOR341W	22	0.016	11	0.1292	14	NaN	1	0.343	4.01E+01	744	1664	2	0.5947	5	5	75	NaN	nuc1	SPBC4C3.05c
YOR342C	YOR342C	17	0.1497	4	0.1567	2	-0.008	2	0.273	5.46E+01	790	319	2.5	0.5828	NaN	NaN	0	6		
TYE7	YOR344C	14	0.0864	8	0.6907	0	0.013	1	0.28	5.19E+01	8	291	1.9	0.6473	1	1	1	24		
REV1	YOR346W	23	0.1418	16	0.3401	1	-0.016	1	0.219	5.05E+01	14	985	0.8	0.5845	3	3	64	12	rev1	SPBC1347.01c
PYK2	YOR347C	23	0.0403	11	0.0613	3	-0.051	2	0.26	5.29E+01	709	506	0.3	0.6866	2	2	20	15		
PUT4	YOR348C	23	0.05	13	0.1563	8	0.018	16	0.213	5.00E+01	227	627	NaN	0.7813	1	1	5	10	SPAC869.10c	SPAC869.10c
CIN1	YOR349W	23	0.2067	7	0.0335	4	-0.053	1	0.248	5.61E+01	71	1014	0.2	0.4519	NaN	NaN	39	57		
MNE1	YOR350C	9	0.274	3	0.1131	3	0.257	1	0.244	5.27E+01	119	663	0.2	0.4047	1	1	NaN	82		
MEK1	YOR351C	18	0.0682	10	0.1771	0	0.015	1	0.235	5.20E+01	44	497	NaN	0.4432	2	2	3	13	mek1	SPAC14C4.03
YOR352W	YOR352W	17	0.1108	4	0.1633	3	-0.01	1	0.265	5.10E+01	463	343	0.6	0.521	NaN	NaN	2	3		
SOG2	YOR353C	22	0.096	10	0.2769	5	NaN	1	0.181	5.16E+01	261	791	0.4	0.474	2	2	17	NaN	SPBC887.09c	SPBC887.09c
MSC6	YOR354C	17	0.1401	5	0.0882	0	0.07	1	0.221	5.18E+01	321	692	0.9	0.5521	NaN	NaN	0	44		
GDS1	YOR355W	18	0.0981	5	0.5057	16	0.095	1	0.193	4.78E+01	334	522	2.9	0.4717	NaN	NaN	0	43		
YOR356W	YOR356W	22	0.0409	15	0.0856	1	-0.038	1	0.235	5.12E+01	193	631	1.2	0.5055	2	2	73	6	SPAC20G8.04c	SPAC20G8.04c
SNX3	YOR357C	20	0.0145	14	0.1852	3	0.017	1	0.225	5.30E+01	312	162	1.3	0.4319	1	1	61	15	snx3	SPBC887.06c
HAP5	YOR358W	23	0.081	7	0.5372	3	0.219	1	0.204	61	312	242	NaN	0.3988	1	1	21	98		
VTS1	YOR359W	23	0.106	11	0.5143	3	0.102	1	0.243	5.03E+01	453	523	1.6	0.4868	1	1	9	28		
PDE2	YOR360C	20	0.1161	10	0.0361	5	-0.062	1	0.253	5.13E+01	104	526	2.4	0.4322	1	1	30	92		
PRT1	YOR361C	23	0.0527	11	0.1494	41	NaN	1	0.4	4.17E+01	1108	763	5.1	0.5435	2	2	82	NaN	SPAC25G10.08	SPAC25G10.08
PRE10	YOR362C	23	0.0306	13	0.2118	22	NaN	1	0.252	5.39E+01	381	288	5.8	0.4162	2	2	84	NaN	pre10	SPCC1795.04c
PIP2	YOR363C	11	0.0915	13	0.3444	1	-0.02	2	0.227	5.27E+01	207	996	0.3	0.5704	1	1	NaN	3		
